zip,lat,lng,population,density
2726,41.76073,-71.14444,15946,1114.1
2738,41.7092,-70.76362,5312,145.2
2739,41.6687,-70.81705,6563,146.2
2740,41.63802,-70.93839,46336,3112.8
2743,41.71323,-70.90054,10476,224.0
2744,41.60789,-70.91286,12549,3724.4
2745,41.70284,-70.94695,25013,983.5
2746,41.66474,-70.945,16791,2275.5
2747,41.6577,-71.01202,21500,202.5
2748,41.56096,-70.97963,11501,191.3
2760,41.97004,-71.33586,29078,625.2
2762,42.01409,-71.33642,9872,346.9
2763,41.96666,-71.30743,1764,759.3
2764,41.8562,-71.16022,4344,153.9
2766,41.96402,-71.18418,19155,265.7
